source_url,publisher_domain,headline,snippet,deportee_count,origin_country,destination_country,conducting_agency,transport_mode,date_discovered,Urgency,DeportationType
https://weather.metoffice.gov.uk/forecast/gfjcnkp61,weather.metoffice.gov.uk,Tayport (Fife) weather - Met Office,"16 hours ago ... Tayport 7 day weather forecast including weather warnings, temperature, rain, wind, visibility, humidity and UV.",0,,,ICE,unknown,2025-08-30T16:00:00.529145Z,Low,Group
https://www.gov.uk/search/news-and-communications,www.gov.uk,News and communications - GOV.UK,"16 hours ago ... Joint statement delivered by Ambassador Barbara Woodward, UK Permanent Representative to the UN, on behalf of France, Germany and the United Kingdom. Updated: ...",0,,the UN,Unknown,unknown,2025-08-30T16:00:00.529797Z,Low,Group
https://www.gov.uk/foreign-travel-advice/nigeria,www.gov.uk,Nigeria travel advice - GOV.UK,"16 hours ago ... FCDO travel advice for Nigeria. Includes safety and security, insurance, entry requirements and legal differences.",0,,,ICE,unknown,2025-08-30T16:00:00.530193Z,Low,Group
https://weather.metoffice.gov.uk/forecast/gcvz0r35b,weather.metoffice.gov.uk,Kirkcaldy (Fife) weather - Met Office,"16 hours ago ... Kirkcaldy 7 day weather forecast including weather warnings, temperature, rain, wind, visibility, humidity and UV.",0,,,ICE,unknown,2025-08-30T16:00:00.530562Z,Low,Group
https://www.find-court-tribunal.service.gov.uk/courts/taylor-house-tribunal-hearing-centre,www.find-court-tribunal.service.gov.uk,Untitled,16 hours ago ... ,0,,,Unknown,unknown,2025-08-30T16:00:00.530788Z,Low,Group
https://weather.metoffice.gov.uk/forecast/u10dgyy7h,weather.metoffice.gov.uk,Ashford (Kent) weather - Met Office,"16 hours ago ... Ashford 7 day weather forecast including weather warnings, temperature, rain, wind, visibility, humidity and UV.",0,,,ICE,unknown,2025-08-30T16:00:00.531185Z,Low,Group
https://www.newport.gov.uk/,www.newport.gov.uk,Newport City Council: Home,2 days ago ... We're currently redeveloping our website so you may see a mix of old and new style pages while we complete this work. Please use our feedback form below to ...,0,,,Unknown,unknown,2025-08-30T16:00:00.531650Z,Low,Group
https://findajob.dwp.gov.uk/details/17061210,findajob.dwp.gov.uk,9356 - Hub Manager - Offender Management | Job details | Find a job,1 day ago ... • Foreign Nationals/Deportation/Immigration • Risk to Children/Safeguarding Children • Harassment/Restraining Orders • Probation • Category A administration,0,,Children,Unknown,train,2025-08-30T16:00:00.533463Z,Low,Group
https://findajob.dwp.gov.uk/search?loc=67804,findajob.dwp.gov.uk,34 jobs in Harmondsworth | Page 1 | Find a job,"2 days ago ... Gym Manager - Detention Custody Officer Manager - Heathrow Immigration Removal Centre £38,873.66 per annum Pension and life assurance Job ...",0,,,ICE,unknown,2025-08-30T16:00:00.534000Z,Low,Group
http://www.legislation.gov.uk/ukdsi/2025/9780348273168/2025-09-23/data.xml,www.legislation.gov.uk,https://www.legislation.gov.uk/ukdsi/2025/9780348273168/2025-09 ...,2 days ago ... ... (Removal of Prisoners for Deportation) Order 2025</dc:title><dc:publisher> ... Order amends section 260 of the Criminal Justice Act 2003 (c. 44) (“the ...,0,,,ICE,unknown,2025-08-30T16:00:00.536290Z,Low,Criminal
https://careers.homeoffice.gov.uk/search-jobs,careers.homeoffice.gov.uk,Search jobs - Home Office Careers,"3 days ago ... Digital, Data and Technology. Senior Technology Delivery Manager, Police and Public Protection Technology (PPPT). London - 2 Marsham Street ...",0,,,UK Home Office,unknown,2025-08-30T16:00:00.539306Z,Low,Group
https://www.aberdeenshire.gov.uk/,www.aberdeenshire.gov.uk,Aberdeenshire Council: Home,3 days ago ... Council services ... Planning and building ... Schools and learning ... Bins and recycling ... Housing ... Roads and travel ... Council Tax ... Social care and health ...,0,,,ICE,unknown,2025-08-30T16:00:00.540157Z,Low,Group
https://www.basildon.gov.uk/article/10746/Leader-s-blog-28-August-2025,www.basildon.gov.uk,Leader's blog - 28 August 2025 - Basildon,"2 days ago ... The government is right to close hotels, right to speed up asylum decisions, and right to ensure that deportations happen where necessary. But none of that ...",0,,close hotels,Unknown,unknown,2025-08-30T16:00:00.540723Z,Low,Group
https://www.gov.uk/world/russia/news,www.gov.uk,Russia and the UK - GOV.UK,"3 days ago ... The Foreign, Commonwealth &amp; Development Office has summoned the Russian Ambassador following the abhorrent strikes on Kyiv overnight which killed many... UK ...",0,,,ICE,unknown,2025-08-30T16:00:00.541197Z,Low,Group
https://www.wigan.gov.uk/,www.wigan.gov.uk,Wigan Council - Residents,"3 days ago ... Information for local residents, visitors and local businesses.",0,,,Unknown,bus,2025-08-30T16:00:00.541421Z,Low,Group
https://www.gov.uk/government/statistics/electronic-monitoring-mi-publication-june-2025/technical-note,www.gov.uk,Technical note - GOV.UK,"2 days ago ... ... deportation proceedings, while awaiting deportation. Post-release Order, When an individual has been released from prison with a licence condition that is ...",0,prison with,,ICE,unknown,2025-08-30T16:00:00.541725Z,Low,Individual
